Date,Open,High,Low,Close,Adj Close,Volume
2015-07-13,24709.580078,25275.759766,24596.439453,25224.009766,25224.009766,2124810600
2015-07-14,25184.060547,25250.949219,24906.470703,25120.910156,25120.910156,2129805300
2015-07-15,25219.449219,25219.449219,24862.650391,25055.759766,25055.759766,1603476600
2015-07-16,24976.080078,25170.349609,24841.140625,25162.779297,25162.779297,1386159700
2015-07-17,25246.640625,25517.449219,25183.859375,25415.269531,25415.269531,1279509000
2015-07-20,25540.310547,25540.310547,25298.960938,25404.810547,25404.810547,1088244600
2015-07-21,25428.880859,25634.320313,25342.689453,25536.429688,25536.429688,1125389100
2015-07-22,25401.789063,25401.789063,25177.599609,25282.619141,25282.619141,1298894500
2015-07-23,25308.550781,25500.990234,25250.359375,25398.849609,25398.849609,1130615300
2015-07-24,25279.949219,25279.949219,25073.199219,25128.509766,25128.509766,1134624200
2015-07-27,24906.779297,24908.580078,24282.210938,24351.960938,24351.960938,2317678800
2015-07-28,24269.900391,24947.349609,24140.619141,24503.939453,24503.939453,2134225400
2015-07-29,24630.439453,24718.640625,24444.470703,24619.449219,24619.449219,1350559500
2015-07-30,24822.419922,24872.699219,24478.070313,24497.980469,24497.980469,1488228200
2015-07-31,24650.929688,24661.189453,24467.830078,24636.279297,24636.279297,1363737600
2015-08-03,24533.140625,24533.140625,24232.599609,24411.419922,24411.419922,1466970000
2015-08-04,24364.410156,24519.349609,24217.779297,24406.119141,24406.119141,1225548200
2015-08-05,24466.300781,24582.189453,24420.949219,24514.160156,24514.160156,1105419800
2015-08-06,24527.740234,24527.740234,24320.750000,24375.279297,24375.279297,977477100
2015-08-07,24327.560547,24641.929688,24327.560547,24552.470703,24552.470703,1106892000
2015-08-10,24433.660156,24602.669922,24135.640625,24521.119141,24521.119141,1211647200
2015-08-11,24694.779297,24924.070313,24420.710938,24498.210938,24498.210938,1608447800
2015-08-12,24269.109375,24324.189453,23826.960938,23916.019531,23916.019531,1851647500
2015-08-13,23935.480469,24133.869141,23860.820313,24018.800781,24018.800781,1716745000
2015-08-14,24055.019531,24126.300781,23957.359375,23991.029297,23991.029297,1198083100
2015-08-17,23945.599609,23950.570313,23699.839844,23814.650391,23814.650391,1197838600
2015-08-18,23956.859375,24024.369141,23464.349609,23474.970703,23474.970703,1454347800
2015-08-19,23555.019531,23586.789063,23138.730469,23167.849609,23167.849609,1914775100
2015-08-20,22973.869141,23033.970703,22610.529297,22757.470703,22757.470703,2339044200
2015-08-21,22343.250000,22492.789063,22185.849609,22409.619141,22409.619141,2490613900
2015-08-24,21605.970703,21679.449219,21136.480469,21251.570313,21251.570313,3579922600
2015-08-25,21119.529297,21871.400391,20865.259766,21404.960938,21404.960938,3588835100
2015-08-26,21434.250000,21686.449219,21060.089844,21080.390625,21080.390625,2956076900
2015-08-27,21758.619141,21963.429688,21407.589844,21838.539063,21838.539063,3192968200
2015-08-28,22424.400391,22424.400391,21585.330078,21612.390625,21612.390625,3009422400
2015-08-31,21793.019531,21793.019531,21399.619141,21670.580078,21670.580078,2686630600
2015-09-01,21692.779297,21692.779297,21170.859375,21185.429688,21185.429688,2155988500
2015-09-02,21101.419922,21288.529297,20771.769531,20934.939453,20934.939453,2512620100
2015-09-04,21158.929688,21174.859375,20715.019531,20840.609375,20840.609375,2120922200
2015-09-07,20683.310547,21056.390625,20579.929688,20583.519531,20583.519531,1656172300
2015-09-08,20636.830078,21431.990234,20524.880859,21259.039063,21259.039063,2266169400
2015-09-09,21632.689453,22228.589844,21529.810547,22131.310547,22131.310547,2945626500
2015-09-10,21667.859375,21771.570313,21492.089844,21562.500000,21562.500000,2092595900
2015-09-11,21710.130859,21909.820313,21472.160156,21504.369141,21504.369141,2371639300
2015-09-14,21678.880859,21762.150391,21441.710938,21561.900391,21561.900391,1472113700
2015-09-15,21527.529297,21634.480469,21411.169922,21455.230469,21455.230469,1352205800
2015-09-16,21731.339844,22103.060547,21608.500000,21966.660156,21966.660156,2077633300
2015-09-17,22172.679688,22203.359375,21718.710938,21854.630859,21854.630859,2118628500
2015-09-18,21807.250000,22052.109375,21807.250000,21920.830078,21920.830078,2054752700
2015-09-21,21614.429688,21778.060547,21590.699219,21756.929688,21756.929688,1372777800
2015-09-22,21794.339844,22111.669922,21768.980469,21796.580078,21796.580078,1438158500
2015-09-23,21529.470703,21577.449219,21008.609375,21302.910156,21302.910156,2304513300
2015-09-24,21304.900391,21363.210938,21053.500000,21095.980469,21095.980469,1596740300
2015-09-25,21070.390625,21318.330078,20957.990234,21186.320313,21186.320313,1728956700
2015-09-29,20579.220703,20579.220703,20368.119141,20556.599609,20556.599609,2536957700
2015-09-30,20795.929688,20939.390625,20683.109375,20846.300781,20846.300781,2134506700
2015-10-02,21172.939453,21530.800781,21130.109375,21506.089844,21506.089844,2161215700
2015-10-05,21930.970703,21980.839844,21739.900391,21854.500000,21854.500000,1468789300
2015-10-06,22169.099609,22169.099609,21719.289063,21831.619141,21831.619141,1622570500
2015-10-07,21884.730469,22527.789063,21817.419922,22515.759766,22515.759766,2932824400
2015-10-08,22588.689453,22588.689453,22201.109375,22354.910156,22354.910156,1931209500
2015-10-09,22615.939453,22807.859375,22440.880859,22458.800781,22458.800781,2403310800
2015-10-12,22614.330078,22779.500000,22562.259766,22730.929688,22730.929688,1871862800
2015-10-13,22677.599609,22798.900391,22515.730469,22600.460938,22600.460938,1710895100
2015-10-14,22398.820313,22576.500000,22356.560547,22439.910156,22439.910156,1352740800
2015-10-15,22667.419922,22940.250000,22567.650391,22888.169922,22888.169922,1920825800
2015-10-16,23133.589844,23178.140625,22953.560547,23067.369141,23067.369141,1922580500
2015-10-19,23085.609375,23100.660156,22913.599609,23075.609375,23075.609375,1259219800
2015-10-20,22991.599609,23057.929688,22843.039063,22989.220703,22989.220703,1217365400
2015-10-22,22795.580078,22869.589844,22727.589844,22845.369141,22845.369141,1374140600
2015-10-23,23220.380859,23220.380859,23088.029297,23151.939453,23151.939453,1495348200
2015-10-26,23423.640625,23423.640625,23066.939453,23116.250000,23116.250000,1465182800
2015-10-27,23053.119141,23143.880859,22885.220703,23142.730469,23142.730469,1532532100
2015-10-28,23070.699219,23120.250000,22923.660156,22956.570313,22956.570313,1377130700
2015-10-29,23054.529297,23054.529297,22811.320313,22819.939453,22819.939453,1759025000
2015-10-30,22785.859375,22847.160156,22612.560547,22640.039063,22640.039063,1537138400
2015-11-02,22502.279297,22605.800781,22332.710938,22370.039063,22370.039063,0
2015-11-03,22603.150391,22697.000000,22560.169922,22568.429688,22568.429688,1469567800
2015-11-04,22737.439453,23342.070313,22737.439453,23053.570313,23053.570313,2604074100
2015-11-05,23045.099609,23180.269531,22960.619141,23051.039063,23051.039063,1502715700
2015-11-06,22914.199219,22922.789063,22791.910156,22867.330078,22867.330078,1394990300
2015-11-09,22753.509766,22970.830078,22689.259766,22726.769531,22726.769531,1544945200
2015-11-10,22505.699219,22534.919922,22339.689453,22401.699219,22401.699219,1796811200
2015-11-11,22394.150391,22479.460938,22324.410156,22352.169922,22352.169922,1419265500
2015-11-12,22477.599609,22980.970703,22454.960938,22888.919922,22888.919922,1844259100
2015-11-13,22494.089844,22519.330078,22318.619141,22396.140625,22396.140625,2002495500
2015-11-16,21958.279297,22127.380859,21958.279297,22010.820313,22010.820313,1816444100
2015-11-17,22315.179688,22497.330078,22243.960938,22264.250000,22264.250000,1627705000
2015-11-18,22331.769531,22349.730469,22163.279297,22188.259766,22188.259766,1211467800
2015-11-19,22423.880859,22559.060547,22416.000000,22500.220703,22500.220703,1381484300
2015-11-20,22510.449219,22790.070313,22412.029297,22754.720703,22754.720703,1230928400
2015-11-23,22760.050781,22802.710938,22619.679688,22665.900391,22665.900391,1075994800
2015-11-24,22593.089844,22629.750000,22433.509766,22587.630859,22587.630859,1194757000
2015-11-25,22533.529297,22617.210938,22436.009766,22498.000000,22498.000000,1513214100
2015-11-26,22749.599609,22787.500000,22453.689453,22488.939453,22488.939453,1128427600
2015-11-27,22555.419922,22555.419922,22051.009766,22068.320313,22068.320313,2044748700
2015-11-30,21974.849609,22195.349609,21907.449219,21996.419922,21996.419922,0
2015-12-01,22197.810547,22477.509766,22143.570313,22381.349609,22381.349609,1984283400
2015-12-02,22471.349609,22563.470703,22368.660156,22479.689453,22479.689453,1671129200
